ProductID,Payment,UB_CODE,ProductName
1,JX1,JX1,Vo Lam
2,D9,D9,Cuu Long
3,FS,FS,Phong Than
5,BNB,BNB,Boom
12,Payment,Payment,Payment
14,JX2,JX2,Vo Lam 2
31,ZP,ZP,ZingPlay
34,ZT,ZT,Chinh Do
37,JX1F,JX1F,Vo Lam Free
48,JXW,JXW,Vo Lam Web
49,ZG,ZG,Gunny
50,ZS,ZS,ZingSpeed
57,WJX,WJX,Kiem The
58,ZM,ZM,Zing Me - FFS
61,HH,HH,Happy Farm
62,FG,FG,Fish Garden
63,BOI,BOI,Kiem Tien
65,WOF,WOF,Tinh Vo
71,ZFarm,ZFarm,Zing Farm
72,ZDeal,ZDeal,Zing Deal
73,KVTM,KVTM,KVTM
75,ZFish,ZFish,Zing Fish
77,JXV,JXV,Vo Lam Di Ban
78,ZingCredit,ZingCredit,Zing Credit
83,MYCARO,MYCARO,My Caro
84,UNIN,UNIN,Un In
86,MLVN,MLVN,MOLYVN
87,MPGSN-TALA,MPGSN-TALA,GSN TALA
88,MPGSN-TLEN,MPGSN-TLEN,TIEN LEN
90,NKVN,NKVN,VoLamChiMong
91,MPGSN-XiTo,MPGSN-XiTo,XI TO
92,VNIF,VNIF,VNIF
94,TOP,TOP,AniWorld
95,MPGSN-PKUS,MPGSN-PKUS,Poker US
96,MPGSN-B9BI,MPGSN-B9BI,Bida 9 Bi
100,JX3,JX3,Vo Lam 3
102,HBTH,HBTH,HBTH
102,HBTH,HBTH,HBTH
103,NLVN,NLVN,Ngoa Long
104,SVFB,SVFB,HangRong
107,ZT2,ZT2,ChinhDoMienPhi
109,LTVN,LTVN,LongTuong
110,MCiGSN,MCiGSN,Cam Gioi
113,CZGSS,CZGSS,Dao Rong
115,VLNB,VLNB,Vo Lam Ngu Ba
116,X11GSS,X11GSS,X11
117,BVVN,BVVN,Loan The Truyen Ky
118,PKVN,PKVN,Phuc Khoi
119,NLFB,NLFB,Ngoa Long Facebook
120,WTVN,WTVN,Than Khuc
121,PNTC2,PNTC2,Tien Lo
122,MPGSN-BXX,MPGSN-BXX,Binh
124,MPGSN-BICA,MPGSN-BICA,MPGSN-BICA
125,MPGSN-COTU,MPGSN-COTU,Co Tuong
129,MSG,MSG,Mong Tam Quoc
131,TTVN,TTVN,Tien The
132,XuongCQ,XuongCQ,Xuong CQ
134,DTQ,DTQ,Dai Tuong Quan
136,DPH,DPH,Dong Phuong Hiep
141,TMN,TMN,Ai My Nhan
149,CMSTalk,CMSTalk,CMSTalk
150,SFMGSN,SFMGSN,SuperFarm
151,SKY5,SKY5,SKY5
157,NKVNZME,NKVN,NKVN ZME
161,NKVNZP,NKVN,NKVN ZingPLay
162,ZGY,ZGY,ZGYahoo
163,NKVNY,NKVN,NKVN Yahoo
164,TOPY,TOPY,TOP Yahoo
165,HBTHY,HBTHY,HBTH Yahoo
166,NLVNY,NLVNY,NLVN Yahoo
167,WTVNY,WTVNY,WTVN Yahoo
168,DTQY,DTQY,DTQ Yahoo
169,TMNY,TMNY,TMN Yahoo
170,NKVN-VG,NKVN,NKVN-VG
171,JVNGSS,JVNGSS,JVNGSS
172,PNTC2-Y,PNTC2-Y,PNTC2-Y
173,SVFB-Y,SVFB-Y,SVFB-Y
174,COCC,COCC,COCC
175,MAT,MAT,MAT
178,VLG-GSN,VLG-GSN,VLG-GSN
180,DTQ-ZME,DTQ-ZME,DTQ-ZME
181,LTVN-Y,LTVN-Y,LTVN-Y
182,SKY5-Y,SKY5-Y,SKY5-Y
183,NLVN-ZME,NLVN-ZME,NLVN-ZME
184,TMN-ZME,TMN-ZME,TMN-ZME
185,TMN-VG,TMN-VG,TMN-VG
186,TFSG,TFSG,TFSG
187,BACAY,BACAY,BACAY
189,NLMB,NLMB,NLMB
190,DPCK,DPCK,Dau Pha Can Khong
191,N2FBS,N2FBS,N2FBS
192,TMN-ZP,TMN-ZP,TMN-ZP
193,TFSG-VG,TFSG-VG,TFSG-VG
194,TFSG-ZP,TFSG-ZP,TFSG-ZP
195,N2FBS-ZME,N2FBS-ZME,N2FBS-ZME
197,JJSG,JJSG,JJSG
202,TT,TT,TT
204,PNTC2-VG,PNTC2-VG,PNTC2-VG
205,ZinZin,ZinZin,ZinZin
207,VCFBS,VCFBS,10 Ha 7
219,SFGSN,SFGSN,FarmeryWeb
220,LMAH,LMAH,LMAH
227,NguLong,ylzt,Ngu Long
235,FV,FV,Phong Van
236,ZBFBS2,ZBFBS2,ZBFBS2
238,JX1CTC,JX1CTC,JX1 CTC
239,KS,KS,KS
241,VLCM2,VLCM2,VLCM2
242,VLHT,VLHT,Vo Lam Huyen Thoai
244,TTL3D,TTL3D,Tan Thien Long 3D
246,DBTH,DBTH,Doc Bo Thien Ha
248,ZGM,ZGM,Gunny Mobile
252,DTTK,DTTK,DOTA Truyen Ky
253,ThoiLoanM,ThoiLoanM,Thoi Loan Mobile
254,BCVS,BC,Bach Chien Vo Song
256,ZUNI,ZUNI,ZUNI
257,FWS,FWS,Phong Than Web
258,HACQ,HACQ,Hac am
258,HACQ,HACQ,Hac Am Chi Quan
259,GunnyClassic,zg,Gunny Huyen Thoai
260,WH2,WH2,Vo Hon
261,WJX2,WJX2,Kiem The 2
263,ZaLo,ZaLo,ZaLo
265,CTC,CTC,Cong Thanh Chien
269,TB,TB,TB
270,BF,BF,BF
271,CT,CT,Cuu Tinh Vo Song
274,MU,MU,MU
276,BaoPhong,BaoPhong,Bao Phong
277,BachChien2,bc2,Bach Chien 2
278,HX,HX,HX
281,TTHS,TTHS,TTHS
282,TG,TG,TG
283,TLBBW,TLBBW,TLBBW
285,LP,LP,Long Pha
289,TD,TD,TD
290,LV,LV,Linh Vuc
293,BC3,BC3,Bach Chien 3
294,TTTQ,TTTQ,Tinh The Tam Quoc
295,DCT,DCT,Dai Chien Than
108,7heroes,7heroes,ThatHung
138,7heroes2,7heroes2,That Hung 2
222,9K,9K,9K
7,123MUA,123MUA,123 MUA
1000000,ZT2IC,ZT2IC,ZT2 Buy Item Code
1000002,HocMai,HocMai,Hoc Mai
1000003,VNPT,VNPT,VNPT
1000008,Fshare,Fshare,Fshare
1000013,ZSBuyCode,ZSBuyCode,ZSBuyCode
1000015,CSMTalk,CSMTalk,CSMTalk
1000019,TTL3DPromotion,TTL3DPromotion,TTL3DPromotion
1000020,TalkDBG,TalkDBG,TalkDBG
1000021,ZS_MungLeLonTrungNacTha_DBG,ZS_MungLeLonTrungNacTha_DBG,ZS_MungLeLonTrungNacTha_DBG
1000022,vi thap phong dbg,vi thap phong dbg,vi thap phong dbg
1000023,webshop TTL3D dbg,webshop TTL3D dbg,webshop TTL3D dbg
1000024,VipZingSpeedDbg,VipZingSpeedDbg,Vip ZingSpeed Dbg
1000025,DMFBS2,DMFBS2,Diamond Reborn
1000026,zingspeedpromotedbg,zingspeedpromotedbg,zingspeed promote dbg
